image_id,aligned_path,label
079519.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/079519.jpg,263
050337.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/050337.jpg,588
069895.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/069895.jpg,246
010102.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/010102.jpg,366
030098.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/030098.jpg,137
050362.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/050362.jpg,144
121054.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/121054.jpg,81
116785.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/116785.jpg,354
152238.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/152238.jpg,79
109686.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/109686.jpg,318
023890.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/023890.jpg,138
088451.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/088451.jpg,151
113954.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/113954.jpg,221
008587.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/008587.jpg,47
058381.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/058381.jpg,348
021682.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/021682.jpg,562
048967.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/048967.jpg,207
157754.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/157754.jpg,283
058326.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/058326.jpg,526
091417.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/091417.jpg,624
009209.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/009209.jpg,302
066837.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/066837.jpg,621
154981.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/154981.jpg,89
056223.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/056223.jpg,84
001440.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/001440.jpg,112
033578.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/033578.jpg,683
161784.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/161784.jpg,445
131410.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/131410.jpg,397
177000.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/177000.jpg,108
053723.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/053723.jpg,556
164806.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/164806.jpg,178
092363.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/092363.jpg,386
079554.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/079554.jpg,373
120348.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/120348.jpg,675
008947.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/008947.jpg,282
123111.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/123111.jpg,353
001010.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/001010.jpg,335
189604.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/189604.jpg,679
064792.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/064792.jpg,281
015351.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/015351.jpg,371
001408.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/001408.jpg,71
170001.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/170001.jpg,256
185868.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/185868.jpg,387
089899.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/089899.jpg,543
021705.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/021705.jpg,265
097242.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/097242.jpg,174
195488.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/195488.jpg,569
073922.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/073922.jpg,516
165168.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/165168.jpg,337
011726.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/011726.jpg,26
191640.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/191640.jpg,488
075298.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/075298.jpg,458
117987.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/117987.jpg,496
171723.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/171723.jpg,106
071310.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/071310.jpg,235
036147.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/036147.jpg,143
061439.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/061439.jpg,72
015314.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/015314.jpg,692
116731.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/116731.jpg,138
015900.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/015900.jpg,297
084915.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/084915.jpg,142
011854.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/011854.jpg,156
096375.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/096375.jpg,472
098973.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/098973.jpg,611
152880.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/152880.jpg,28
151139.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/151139.jpg,575
076239.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/076239.jpg,534
014249.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/014249.jpg,105
196296.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/196296.jpg,655
029017.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/029017.jpg,662
177912.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/177912.jpg,172
019658.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/019658.jpg,497
059042.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/059042.jpg,98
031699.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/031699.jpg,77
180964.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/180964.jpg,255
154118.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/154118.jpg,189
008620.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/008620.jpg,48
105426.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/105426.jpg,585
019584.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/019584.jpg,667
030588.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/030588.jpg,467
126698.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/126698.jpg,51
064563.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/064563.jpg,219
008463.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/008463.jpg,267
143098.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/143098.jpg,131
178680.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/178680.jpg,193
144665.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/144665.jpg,354
201832.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/201832.jpg,375
113689.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/113689.jpg,416
022571.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/022571.jpg,626
076223.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/076223.jpg,462
070911.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/070911.jpg,202
007047.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/007047.jpg,640
001002.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/001002.jpg,166
007789.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/007789.jpg,385
189313.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/189313.jpg,656
193111.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/193111.jpg,691
052744.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/052744.jpg,508
000984.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/000984.jpg,636
191762.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/191762.jpg,691
047345.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/047345.jpg,343
006108.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/006108.jpg,110
011599.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/011599.jpg,344
045717.jpg,/content/drive/MyDrive/Colab Notebooks/MFTI/arcface_mainset_1/aligned_112/train/045717.jpg,467
